day	posts	likes	reactions	comments	shares
2017-01-02	2	474	493	39	4
2017-01-03	0	0	0	0	0
2017-01-04	1	5	8	0	1
2017-01-05	1	21	22	11	1
2017-01-06	0	0	0	0	0
2017-01-07	0	0	0	0	0
2017-01-08	0	0	0	0	0
2017-01-09	1	16	16	1	4
2017-01-10	1	68	68	0	3
2017-01-11	0	0	0	0	0
2017-01-12	0	0	0	0	0
2017-01-13	0	0	0	0	0
2017-01-14	0	0	0	0	0
2017-01-15	0	0	0	0	0
2017-01-16	1	195	232	239	18
2017-01-17	0	0	0	0	0
2017-01-18	0	0	0	0	0
2017-01-19	0	0	0	0	0
2017-01-20	1	123	129	9	9
2017-01-21	0	0	0	0	0
2017-01-22	0	0	0	0	0
2017-01-23	1	38	39	0	8
2017-01-24	1	18	19	0	0
2017-01-25	1	54	56	0	0
2017-01-26	1	15	15	0	0
2017-01-27	0	0	0	0	0
2017-01-28	0	0	0	0	0
2017-01-29	0	0	0	0	0
2017-01-30	0	0	0	0	0
2017-01-31	1	13	13	0	0
2017-02-01	1	93	103	223	0
2017-02-02	0	0	0	0	0
2017-02-03	0	0	0	0	0
2017-02-04	0	0	0	0	0
2017-02-05	0	0	0	0	0
2017-02-06	0	0	0	0	0
2017-02-07	1	118	133	2	2
2017-02-08	1	24	25	17	2
2017-02-09	1	63	81	11	0
2017-02-10	1	28	30	1	0
2017-02-11	0	0	0	0	0
2017-02-12	0	0	0	0	0
2017-02-13	1	21	26	66	1
2017-02-14	1	268	292	37	4
2017-02-15	0	0	0	0	0
2017-02-16	1	27	29	23	5
2017-02-17	0	0	0	0	0
2017-02-18	0	0	0	0	0
2017-02-19	0	0	0	0	0
2017-02-20	1	60	61	0	2
2017-02-21	1	320	342	3	2
2017-02-22	0	0	0	0	0
2017-02-23	1	39	42	25	0
2017-02-24	0	0	0	0	0
2017-02-25	0	0	0	0	0
2017-02-26	0	0	0	0	0
2017-02-27	1	61	62	43	3
2017-02-28	1	352	370	8	19
2017-03-01	1	169	180	254	8
2017-03-02	0	0	0	0	0
2017-03-03	1	93	97	12	2
2017-03-04	0	0	0	0	0
2017-03-05	0	0	0	0	0
2017-03-06	0	0	0	0	0
2017-03-07	1	101	101	59	1
2017-03-08	1	37	179	5	4
