day	posts	likes	reactions	comments	shares
2017-01-03	1	41	41	1	4
2017-01-04	0	0	0	0	0
2017-01-05	3	245	249	11	13
2017-01-06	0	0	0	0	0
2017-01-07	0	0	0	0	0
2017-01-08	1	14	14	0	1
2017-01-09	2	73	76	1	8
2017-01-10	1	22	22	1	2
2017-01-11	1	65	67	4	0
2017-01-12	0	0	0	0	0
2017-01-13	4	517	543	15	27
2017-01-14	0	0	0	0	0
2017-01-15	0	0	0	0	0
2017-01-16	0	0	0	0	0
2017-01-17	0	0	0	0	0
2017-01-18	2	38	38	0	2
2017-01-19	1	16	16	0	3
2017-01-20	2	217	217	36	26
2017-01-21	0	0	0	0	0
2017-01-22	0	0	0	0	0
2017-01-23	1	46	46	2	2
2017-01-24	1	82	83	0	4
2017-01-25	2	53	54	6	4
2017-01-26	1	23	23	0	2
2017-01-27	1	12	12	1	0
2017-01-28	1	114	114	22	40
2017-01-29	1	23	23	0	0
2017-01-30	0	0	0	0	0
2017-01-31	2	119	122	6	4
2017-02-01	0	0	0	0	0
2017-02-02	1	4	4	1	2
2017-02-03	2	55	57	2	7
2017-02-04	1	8	8	0	0
2017-02-05	1	15	15	0	1
2017-02-06	1	9	9	0	0
2017-02-07	0	0	0	0	0
2017-02-08	2	51	51	2	3
2017-02-09	2	42	42	1	1
2017-02-10	2	19	19	1	0
2017-02-11	0	0	0	0	0
2017-02-12	0	0	0	0	0
2017-02-13	1	19	20	12	3
2017-02-14	2	80	84	4	10
2017-02-15	2	47	48	6	6
2017-02-16	1	8	8	2	6
2017-02-17	2	89	91	3	3
2017-02-18	0	0	0	0	0
2017-02-19	0	0	0	0	0
2017-02-20	2	118	128	22	14
2017-02-21	1	7	7	0	0
2017-02-22	1	34	36	0	2
2017-02-23	1	39	39	0	3
2017-02-24	3	61	61	93	10
2017-02-25	0	0	0	0	0
2017-02-26	0	0	0	0	0
2017-02-27	1	44	45	7	4
2017-02-28	1	7	8	0	2
2017-03-01	1	18	19	1	1
2017-03-02	1	1	1	0	0
2017-03-03	4	169	199	37	59
2017-03-04	1	7	7	0	1
2017-03-05	1	1	1	0	0
2017-03-06	1	10	10	0	0
2017-03-07	1	65	67	1	2
2017-03-08	2	44	44	0	2
2017-03-09	2	86	87	9	49
2017-03-10	1	33	34	2	5
2017-03-11	3	148	151	7	11
2017-03-12	1	4	5	1	0
