post_id	post_text	post_published	comment_id	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
153677961330272_2278373038860743	"Three years ago  a group of researchers received a voucher from the Pioneers in Healthcare Innovation Fund for a project devoted to early screening for obstructive sleep apnea syndrome (OSAS). They developed a research tool and  true to the entrepreneurial spirit of our university  started a spinoff: OSASense. Curious? Read more in the latest Techmed Magazine."	2018-12-28T10:00:11+0000	2278373038860743_2278406958857351	"I deeply appreciate and dearly acknowledge all research and Entrepreneurial endeavours of Twente University and it's faculty n students. Well done. Keep growing for the goodness of life."	2018-12-28T10:36:52+0000	1		
153677961330272_2267299889968058	"Are you interested in making the world more sustainable? Do you want to analyze  develop  manage and innovate existing and new bioresource value chains in an European regional context? Then our Master s programme SET with the specialization Bioresource Value Chain Management (BVM) might be something for you. Maarten Arentsen  Associate Professor Energy Innovation at the University of Twente tells you all about it in this video.   More information: https://www.utwente.nl/en/set/master_programme/bioresources/"	2018-12-22T03:42:00+0000	2267299889968058_2316031218428258	"Great to hear from you on such an important issue that may impact world future."	2019-01-20T17:41:56+0000	0		
153677961330272_2267299889968058	"Are you interested in making the world more sustainable? Do you want to analyze  develop  manage and innovate existing and new bioresource value chains in an European regional context? Then our Master s programme SET with the specialization Bioresource Value Chain Management (BVM) might be something for you. Maarten Arentsen  Associate Professor Energy Innovation at the University of Twente tells you all about it in this video.   More information: https://www.utwente.nl/en/set/master_programme/bioresources/"	2018-12-22T03:42:00+0000	2267299889968058_2268937566470957	"Julia Gerlach 😌😏😏"	2018-12-22T13:40:46+0000	1		
153677961330272_2267299889968058	"Are you interested in making the world more sustainable? Do you want to analyze  develop  manage and innovate existing and new bioresource value chains in an European regional context? Then our Master s programme SET with the specialization Bioresource Value Chain Management (BVM) might be something for you. Maarten Arentsen  Associate Professor Energy Innovation at the University of Twente tells you all about it in this video.   More information: https://www.utwente.nl/en/set/master_programme/bioresources/"	2018-12-22T03:42:00+0000	2267299889968058_2268705426494171	Great	2018-12-22T10:23:09+0000	0		
153677961330272_2267299889968058	"Are you interested in making the world more sustainable? Do you want to analyze  develop  manage and innovate existing and new bioresource value chains in an European regional context? Then our Master s programme SET with the specialization Bioresource Value Chain Management (BVM) might be something for you. Maarten Arentsen  Associate Professor Energy Innovation at the University of Twente tells you all about it in this video.   More information: https://www.utwente.nl/en/set/master_programme/bioresources/"	2018-12-22T03:42:00+0000	2267299889968058_2316033518428028	"But could you become my professor, my guide, my Mentor... I have a great idea to change research culture and promote technology evolution at universities of Pakistan. I need help and guidance."	2019-01-20T17:44:04+0000	0		
153677961330272_2267270976637616	"Sound on! 📣 More than 100 nationalities on our campus  only one message: Merry Christmas and a Happy New Year! 🤩 Which languages do you recognize? 🤔 #happyholidays #joinourcommunity #utwente"	2018-12-21T11:16:14+0000	2267270976637616_2267837586580955	"I didn’t hear the message in Spanish thought 😪"	2018-12-21T18:14:35+0000	0		
153677961330272_2267270976637616	"Sound on! 📣 More than 100 nationalities on our campus  only one message: Merry Christmas and a Happy New Year! 🤩 Which languages do you recognize? 🤔 #happyholidays #joinourcommunity #utwente"	2018-12-21T11:16:14+0000	2267270976637616_2273622696002444	"Merry Christmas! 😁"	2018-12-25T11:47:16+0000	0		
153677961330272_2267270976637616	"Sound on! 📣 More than 100 nationalities on our campus  only one message: Merry Christmas and a Happy New Year! 🤩 Which languages do you recognize? 🤔 #happyholidays #joinourcommunity #utwente"	2018-12-21T11:16:14+0000	2267270976637616_2270263066338407	"If you guys are so inclusive why not say happy holidays instead? Not everyone celebrates Christmas. How about those people that celebrate Kwanzaa or Hanukkah?"	2018-12-23T10:25:40+0000	0		
153677961330272_2267270976637616	"Sound on! 📣 More than 100 nationalities on our campus  only one message: Merry Christmas and a Happy New Year! 🤩 Which languages do you recognize? 🤔 #happyholidays #joinourcommunity #utwente"	2018-12-21T11:16:14+0000	2267270976637616_2267689293262451	"You guys are awesome ❤️ Happy Holidays 🙂"	2018-12-21T16:25:48+0000	1		
153677961330272_2267270976637616	"Sound on! 📣 More than 100 nationalities on our campus  only one message: Merry Christmas and a Happy New Year! 🤩 Which languages do you recognize? 🤔 #happyholidays #joinourcommunity #utwente"	2018-12-21T11:16:14+0000	2267270976637616_2267682283263152	"UdayAditya Ghantasala"	2018-12-21T16:18:21+0000	0		
