day	posts	likes	reactions	comments	shares
2017-01-01	1	737	763	2	15
2017-01-02	0	0	0	0	0
2017-01-03	1	36	38	17	6
2017-01-04	1	29	29	0	2
2017-01-05	1	27	28	0	1
2017-01-06	1	471	492	51	0
2017-01-07	1	119	123	1	3
2017-01-08	0	0	0	0	0
2017-01-09	1	555	585	56	147
2017-01-10	1	117	125	2	3
2017-01-11	0	0	0	0	0
2017-01-12	0	0	0	0	0
2017-01-13	2	451	486	23	18
2017-01-14	1	226	250	27	64
2017-01-15	1	209	221	8	5
2017-01-16	2	290	299	17	8
2017-01-17	1	16	16	1	7
2017-01-18	2	1190	1274	172	55
2017-01-19	2	1161	1242	41	75
2017-01-20	0	0	0	0	0
2017-01-21	0	0	0	0	0
2017-01-22	1	218	241	12	22
2017-01-23	2	468	492	33	20
2017-01-24	2	334	359	170	9
2017-01-25	1	110	118	10	11
2017-01-26	1	78	82	5	2
2017-01-27	1	1238	1349	100	44
2017-01-28	0	0	0	0	0
2017-01-29	0	0	0	0	0
2017-01-30	1	41	41	2	0
2017-01-31	1	396	429	19	18
2017-02-01	2	103	123	15	2
2017-02-02	1	189	200	14	8
2017-02-03	1	78	78	16	6
2017-02-04	0	0	0	0	0
2017-02-05	0	0	0	0	0
2017-02-06	3	307	311	8	10
2017-02-07	1	437	460	29	29
2017-02-08	1	42	43	2	3
2017-02-09	1	314	333	11	3
2017-02-10	2	273	286	15	26
2017-02-11	1	17	17	2	1
2017-02-12	1	81	82	13	0
2017-02-13	1	89	94	10	9
2017-02-14	1	200	225	29	11
2017-02-15	1	161	171	35	12
2017-02-16	0	0	0	0	0
2017-02-17	2	1036	1817	93	283
2017-02-18	2	698	857	5	19
2017-02-19	1	77	79	4	7
2017-02-20	0	0	0	0	0
2017-02-21	1	233	251	17	6
2017-02-22	1	75	76	0	0
2017-02-23	1	1323	1443	86	113
2017-02-24	1	37	37	2	4
2017-02-25	0	0	0	0	0
2017-02-26	1	72	75	0	4
2017-02-27	1	150	160	13	18
2017-02-28	0	0	0	0	0
2017-03-01	2	539	585	22	43
2017-03-02	1	1050	1123	17	20
2017-03-03	0	0	0	0	0
2017-03-04	1	10	10	2	2
2017-03-05	0	0	0	0	0
2017-03-06	0	0	0	0	0
2017-03-07	1	209	221	3	10
2017-03-08	0	0	0	0	0
2017-03-09	1	1225	1364	1231	101
2017-03-10	1	606	640	206	38
2017-03-11	1	74	74	5	2
2017-03-12	0	0	0	0	0
2017-03-13	1	423	440	41	17
2017-03-14	2	157	163	21	4
2017-03-15	1	204	218	13	34
2017-03-16	0	0	0	0	0
2017-03-17	2	306	324	90	20
2017-03-18	1	51	54	8	2
2017-03-19	1	117	119	4	5
2017-03-20	2	521	555	52	54
2017-03-21	1	40	44	16	0
2017-03-22	1	19	21	1	5
2017-03-23	2	467	556	157	54
2017-03-24	1	55	59	3	3
2017-03-25	0	0	0	0	0
2017-03-26	1	885	933	15	28
2017-03-27	2	454	480	26	15
2017-03-28	1	65	78	6	5
2017-03-29	2	205	223	10	23
2017-03-30	1	68	70	61	2
2017-03-31	1	194	203	2	12
2017-04-01	1	55	59	0	9
2017-04-02	0	0	0	0	0
2017-04-03	1	107	114	1	3
2017-04-04	1	36	39	3	4
2017-04-05	2	434	475	20	9
2017-04-06	1	300	310	17	14
2017-04-07	1	25	25	1	2
2017-04-08	1	1379	1490	190	19
2017-04-09	0	0	0	0	0
2017-04-10	1	67	73	14	2
2017-04-11	2	634	680	28	60
2017-04-12	1	186	198	25	0
2017-04-13	3	334	347	42	10
2017-04-14	1	37	38	2	0
2017-04-15	0	0	0	0	0
2017-04-16	1	430	449	22	1
2017-04-17	0	0	0	0	0
2017-04-18	1	429	462	15	39
2017-04-19	1	508	547	11	9
2017-04-20	1	66	66	0	4
2017-04-21	1	49	50	0	1
2017-04-22	2	556	601	2	36
2017-04-23	0	0	0	0	0
2017-04-24	1	89	91	12	12
2017-04-25	1	182	192	5	16
2017-04-26	2	186	199	1	6
2017-04-27	2	193	195	11	5
2017-04-28	1	610	655	114	65
2017-04-29	0	0	0	0	0
2017-04-30	0	0	0	0	0
2017-05-01	1	102	106	1	11
2017-05-02	2	35	35	5	2
2017-05-03	1	126	133	4	12
2017-05-04	1	30	30	1	2
2017-05-05	1	131	142	1	8
2017-05-06	0	0	0	0	0
2017-05-07	1	29	30	1	2
2017-05-08	0	0	0	0	0
2017-05-09	1	379	416	34	38
2017-05-10	1	468	524	70	13
2017-05-11	1	181	190	1	3
2017-05-12	1	640	701	48	20
2017-05-13	1	34	34	0	0
2017-05-14	0	0	0	0	0
2017-05-15	2	66	73	51	8
2017-05-16	1	68	70	2	2
2017-05-17	1	88	91	3	2
2017-05-18	1	492	532	27	51
2017-05-19	2	1202	1313	158	116
2017-05-20	2	364	383	14	9
2017-05-21	0	0	0	0	0
2017-05-22	1	63	63	51	4
2017-05-23	1	30	31	0	5
2017-05-24	1	224	234	7	7
2017-05-25	1	468	500	15	11
2017-05-26	1	20	20	3	1
2017-05-27	0	0	0	0	0
2017-05-28	1	12	13	0	2
2017-05-29	2	81	82	0	6
2017-05-30	2	352	374	54	41
2017-05-31	1	542	576	21	15
2017-06-01	1	43	47	6	8
2017-06-02	1	985	1054	15	46
2017-06-03	1	60	62	109	6
2017-06-04	0	0	0	0	0
2017-06-05	0	0	0	0	0
2017-06-06	1	77	78	2	5
2017-06-07	1	1144	1281	32	84
2017-06-08	1	7	7	1	0
2017-06-09	1	141	150	5	7
2017-06-10	1	29	30	1	1
2017-06-11	0	0	0	0	0
2017-06-12	3	99	99	7	2
2017-06-13	1	245	261	15	5
2017-06-14	1	1067	1252	330	545
2017-06-15	3	355	369	17	5
2017-06-16	1	134	140	3	8
2017-06-17	1	598	759	33	40
2017-06-18	1	65	66	25	7
2017-06-19	0	0	0	0	0
2017-06-20	2	360	390	97	12
2017-06-21	0	0	0	0	0
2017-06-22	1	110	115	0	2
2017-06-23	1	75	83	4	8
2017-06-24	1	115	122	30	19
2017-06-25	1	106	109	33	22
2017-06-26	0	0	0	0	0
2017-06-27	1	54	58	0	12
2017-06-28	1	297	319	14	20
2017-06-29	2	120	127	10	8
2017-06-30	0	0	0	0	0
2017-07-01	0	0	0	0	0
2017-07-02	1	124	134	18	23
2017-07-03	2	624	681	46	8
2017-07-04	1	44	44	5	11
2017-07-05	2	378	402	13	48
2017-07-06	0	0	0	0	0
