day	posts	likes	reactions	comments	shares
2017-01-02	1	10	10	4	1
2017-01-03	2	288	317	3	22
2017-01-04	1	10	10	23	1
2017-01-05	1	32	33	1	0
2017-01-06	1	12	12	2	3
2017-01-07	0	0	0	0	0
2017-01-08	0	0	0	0	0
2017-01-09	2	280	304	3	12
2017-01-10	2	103	106	22	3
2017-01-11	3	283	301	63	15
2017-01-12	3	222	233	18	52
2017-01-13	2	68	69	1	3
2017-01-14	0	0	0	0	0
2017-01-15	0	0	0	0	0
2017-01-16	1	17	18	0	1
2017-01-17	2	141	144	51	16
2017-01-18	2	173	182	5	11
2017-01-19	1	56	56	0	0
2017-01-20	0	0	0	0	0
2017-01-21	0	0	0	0	0
2017-01-22	0	0	0	0	0
2017-01-23	2	666	775	71	1
2017-01-24	2	49	51	12	0
2017-01-25	2	126	129	13	11
2017-01-26	1	38	40	0	4
2017-01-27	0	0	0	0	0
2017-01-28	0	0	0	0	0
2017-01-29	0	0	0	0	0
2017-01-30	2	88	90	14	16
2017-01-31	2	42	42	0	4
2017-02-01	5	976	1054	27	46
2017-02-02	2	61	68	3	2
2017-02-03	1	14	16	0	2
2017-02-04	0	0	0	0	0
2017-02-05	0	0	0	0	0
2017-02-06	0	0	0	0	0
2017-02-07	1	12	12	2	1
2017-02-08	0	0	0	0	0
2017-02-09	2	149	157	0	11
2017-02-10	2	39	39	1	3
2017-02-11	0	0	0	0	0
2017-02-12	0	0	0	0	0
2017-02-13	0	0	0	0	0
2017-02-14	2	77	83	22	7
2017-02-15	4	942	1017	61	60
2017-02-16	3	79	81	7	6
2017-02-17	1	11	11	0	1
2017-02-18	0	0	0	0	0
2017-02-19	0	0	0	0	0
2017-02-20	2	25	26	0	2
2017-02-21	2	46	48	2	6
2017-02-22	2	78	84	0	4
2017-02-23	2	6902	6929	14	10
2017-02-24	2	31	31	0	0
2017-02-25	0	0	0	0	0
2017-02-26	0	0	0	0	0
2017-02-27	2	893	913	4	6
2017-02-28	2	38	38	0	4
2017-03-01	2	41	41	2	3
2017-03-02	3	69	70	2	2
2017-03-03	2	21	21	0	2
2017-03-04	0	0	0	0	0
2017-03-05	0	0	0	0	0
2017-03-06	0	0	0	0	0
2017-03-07	3	58	58	1	4
2017-03-08	2	31	33	1	5
2017-03-09	3	260	265	39	13
2017-03-10	3	253	280	33	15
2017-03-11	0	0	0	0	0
2017-03-12	0	0	0	0	0
2017-03-13	1	8	8	0	0
2017-03-14	1	16	16	0	0
2017-03-15	3	187	197	3	6
2017-03-16	1	14	14	4	1
2017-03-17	2	33	33	5	3
2017-03-18	2	88	97	39	10
2017-03-19	0	0	0	0	0
2017-03-20	2	64	76	6	7
2017-03-21	3	553	616	15	7
2017-03-22	3	156	160	15	13
2017-03-23	3	133	148	4	5
2017-03-24	2	399	442	25	73
2017-03-25	0	0	0	0	0
2017-03-26	0	0	0	0	0
2017-03-27	3	82	86	3	4
2017-03-28	2	856	1068	20	18
2017-03-29	3	75	76	15	9
2017-03-30	0	0	0	0	0
2017-03-31	2	32	33	9	5
2017-04-01	0	0	0	0	0
2017-04-02	0	0	0	0	0
2017-04-03	2	27	28	2	2
2017-04-04	0	0	0	0	0
2017-04-05	3	40	44	4	2
2017-04-06	3	40	41	0	2
2017-04-07	2	500	508	15	18
2017-04-08	0	0	0	0	0
2017-04-09	0	0	0	0	0
2017-04-10	2	58	67	0	14
2017-04-11	1	9	10	0	2
2017-04-12	1	15	16	6	0
2017-04-13	2	40	41	10	4
2017-04-14	1	192	231	1	0
2017-04-15	0	0	0	0	0
2017-04-16	0	0	0	0	0
2017-04-17	0	0	0	0	0
2017-04-18	1	17	19	16	2
2017-04-19	2	67	77	3	4
2017-04-20	1	6	7	0	0
2017-04-21	1	880	967	61	108
2017-04-22	2	134	144	0	17
2017-04-23	0	0	0	0	0
2017-04-24	3	359	397	6	15
2017-04-25	1	44	47	20	6
2017-04-26	3	70	77	2	11
2017-04-27	1	369	408	7	16
2017-04-28	0	0	0	0	0
2017-04-29	0	0	0	0	0
2017-04-30	0	0	0	0	0
2017-05-01	2	36	40	0	2
2017-05-02	1	13	13	0	0
2017-05-03	2	18	22	0	4
2017-05-04	2	42	45	7	6
2017-05-05	1	256	281	9	32
2017-05-06	0	0	0	0	0
2017-05-07	0	0	0	0	0
2017-05-08	2	184	195	59	9
2017-05-09	2	92	98	3	1
2017-05-10	2	26	28	0	6
2017-05-11	1	29	30	0	3
2017-05-12	0	0	0	0	0
2017-05-13	0	0	0	0	0
2017-05-14	0	0	0	0	0
2017-05-15	1	21	22	1	2
2017-05-16	3	118	127	18	8
2017-05-17	2	25	27	0	3
2017-05-18	2	29	29	0	3
2017-05-19	1	62	63	3	3
2017-05-20	0	0	0	0	0
2017-05-21	0	0	0	0	0
2017-05-22	3	762	897	88	6
2017-05-23	1	16	16	0	0
2017-05-24	4	388	406	13	10
2017-05-25	0	0	0	0	0
2017-05-26	0	0	0	0	0
2017-05-27	0	0	0	0	0
2017-05-28	0	0	0	0	0
2017-05-29	1	55	56	1	0
2017-05-30	2	189	205	19	29
2017-05-31	0	0	0	0	0
2017-06-01	2	152	162	16	13
2017-06-02	2	42	42	2	2
2017-06-03	0	0	0	0	0
2017-06-04	0	0	0	0	0
2017-06-05	0	0	0	0	0
2017-06-06	0	0	0	0	0
2017-06-07	1	120	134	8	0
2017-06-08	1	627	688	46	45
2017-06-09	0	0	0	0	0
2017-06-10	0	0	0	0	0
2017-06-11	0	0	0	0	0
2017-06-12	1	37	37	5	2
2017-06-13	2	406	448	59	64
2017-06-14	0	0	0	0	0
2017-06-15	2	694	764	49	38
2017-06-16	2	51	51	0	2
2017-06-17	0	0	0	0	0
2017-06-18	0	0	0	0	0
2017-06-19	1	43	48	4	3
2017-06-20	1	225	274	22	0
2017-06-21	1	119	126	1	1
2017-06-22	1	378	423	12	54
2017-06-23	1	20	21	0	0
2017-06-24	0	0	0	0	0
2017-06-25	0	0	0	0	0
2017-06-26	1	111	120	12	0
2017-06-27	2	192	207	33	22
2017-06-28	1	287	315	16	28
2017-06-29	1	40	40	0	5
2017-06-30	1	28	28	0	5
2017-07-01	0	0	0	0	0
2017-07-02	0	0	0	0	0
2017-07-03	1	22	24	0	1
2017-07-04	1	109	118	3	0
2017-07-05	2	59	62	3	5
2017-07-06	1	164	180	6	16
2017-07-07	1	58	63	3	4
2017-07-08	0	0	0	0	0
2017-07-09	0	0	0	0	0
2017-07-10	0	0	0	0	0
2017-07-11	1	73	74	3	4
2017-07-12	1	340	355	46	5
2017-07-13	2	326	370	1	15
2017-07-14	1	28	28	1	0
2017-07-15	0	0	0	0	0
2017-07-16	0	0	0	0	0
2017-07-17	1	40	43	1	2
2017-07-18	1	313	343	25	31
2017-07-19	0	0	0	0	0
2017-07-20	1	108	114	10	9
2017-07-21	1	20	20	3	4
2017-07-22	0	0	0	0	0
2017-07-23	0	0	0	0	0
2017-07-24	2	55	60	15	11
2017-07-25	1	68	68	16	1
2017-07-26	1	158	171	4	12
2017-07-27	1	38	40	6	3
2017-07-28	1	39	44	0	0
2017-07-29	0	0	0	0	0
2017-07-30	0	0	0	0	0
2017-07-31	0	0	0	0	0
2017-08-01	2	583	679	17	30
2017-08-02	1	70	71	3	6
2017-08-03	1	12	12	0	0
2017-08-04	1	662	758	12	28
2017-08-05	0	0	0	0	0
2017-08-06	0	0	0	0	0
2017-08-07	1	342	356	18	22
2017-08-08	1	56	59	19	2
2017-08-09	1	112	125	2	7
2017-08-10	0	0	0	0	0
2017-08-11	1	66	69	2	1
2017-08-12	0	0	0	0	0
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	1	26	26	0	1
2017-08-16	1	51	55	1	5
2017-08-17	1	23	23	0	1
2017-08-18	1	56	56	0	0
2017-08-19	0	0	0	0	0
2017-08-20	0	0	0	0	0
2017-08-21	1	541	603	57	40
2017-08-22	0	0	0	0	0
2017-08-23	1	25	26	8	1
2017-08-24	1	221	236	7	23
2017-08-25	1	170	194	14	6
2017-08-26	0	0	0	0	0
2017-08-27	0	0	0	0	0
2017-08-28	2	38	38	8	0
2017-08-29	1	73	77	7	7
2017-08-30	2	467	541	29	65
2017-08-31	1	192	200	39	18
2017-09-01	0	0	0	0	0
2017-09-02	0	0	0	0	0
2017-09-03	1	39	40	6	3
2017-09-04	0	0	0	0	0
2017-09-05	2	1241	1354	116	83
2017-09-06	2	70	71	1	0
2017-09-07	1	128	138	4	2
2017-09-08	1	50	56	6	5
2017-09-09	0	0	0	0	0
2017-09-10	0	0	0	0	0
2017-09-11	1	38	40	0	4
2017-09-12	2	59	66	10	12
2017-09-13	1	54	58	1	3
2017-09-14	1	11	12	1	4
2017-09-15	0	0	0	0	0
2017-09-16	0	0	0	0	0
2017-09-17	0	0	0	0	0
2017-09-18	2	64	69	2	12
2017-09-19	0	0	0	0	0
2017-09-20	2	165	172	2	9
2017-09-21	0	0	0	0	0
2017-09-22	0	0	0	0	0
2017-09-23	0	0	0	0	0
2017-09-24	0	0	0	0	0
2017-09-25	1	15	15	0	0
2017-09-26	0	0	0	0	0
2017-09-27	2	284	304	61	40
2017-09-28	1	18	18	0	0
2017-09-29	1	30	31	3	0
2017-09-30	0	0	0	0	0
2017-10-01	0	0	0	0	0
2017-10-02	1	10	10	0	1
2017-10-03	0	0	0	0	0
2017-10-04	1	177	187	17	24
2017-10-05	2	212	220	37	33
2017-10-06	2	188	206	8	7
2017-10-07	0	0	0	0	0
2017-10-08	0	0	0	0	0
2017-10-09	2	77	77	10	7
2017-10-10	0	0	0	0	0
2017-10-11	1	127	137	11	3
2017-10-12	1	160	175	59	19
2017-10-13	1	131	135	17	8
2017-10-14	3	157	169	24	17
2017-10-15	0	0	0	0	0
2017-10-16	1	25	25	9	1
2017-10-17	1	28	28	0	2
2017-10-18	2	94	95	12	23
2017-10-19	2	1356	1486	227	152
2017-10-20	2	99	105	4	6
2017-10-21	0	0	0	0	0
2017-10-22	0	0	0	0	0
2017-10-23	1	52	52	15	16
2017-10-24	2	26	26	2	2
2017-10-25	1	5	5	1	1
2017-10-26	1	281	319	40	43
2017-10-27	2	259	286	49	25
2017-10-28	0	0	0	0	0
2017-10-29	0	0	0	0	0
2017-10-30	2	57	62	4	0
2017-10-31	1	48	51	1	2
2017-11-01	0	0	0	0	0
2017-11-02	2	21	21	5	2
2017-11-03	1	71	77	2	1
2017-11-04	0	0	0	0	0
2017-11-05	0	0	0	0	0
2017-11-06	0	0	0	0	0
2017-11-07	2	20	20	2	4
2017-11-08	1	49	58	5	4
2017-11-09	2	18	18	3	0
2017-11-10	1	28	31	5	6
2017-11-11	1	64	64	4	5
2017-11-12	0	0	0	0	0
2017-11-13	1	14	14	0	1
2017-11-14	2	172	199	3	13
2017-11-15	1	39	41	1	0
2017-11-16	1	21	21	0	0
2017-11-17	1	103	125	2	4
2017-11-18	0	0	0	0	0
2017-11-19	0	0	0	0	0
2017-11-20	0	0	0	0	0
2017-11-21	0	0	0	0	0
2017-11-22	1	65	72	8	10
2017-11-23	1	47	57	9	1
2017-11-24	0	0	0	0	0
2017-11-25	0	0	0	0	0
2017-11-26	0	0	0	0	0
2017-11-27	0	0	0	0	0
2017-11-28	2	40	42	1	8
2017-11-29	1	549	672	182	45
2017-11-30	0	0	0	0	0
2017-12-01	1	95	103	0	9
2017-12-02	0	0	0	0	0
2017-12-03	0	0	0	0	0
2017-12-04	1	15	15	1	2
2017-12-05	0	0	0	0	0
2017-12-06	1	124	135	6	5
2017-12-07	0	0	0	0	0
2017-12-08	0	0	0	0	0
2017-12-09	0	0	0	0	0
2017-12-10	0	0	0	0	0
2017-12-11	2	708	781	140	54
2017-12-12	0	0	0	0	0
2017-12-13	1	33	34	1	1
2017-12-14	1	17	17	0	4
2017-12-15	1	54	56	10	5
2017-12-16	0	0	0	0	0
2017-12-17	0	0	0	0	0
2017-12-18	1	216	249	22	44
2017-12-19	2	98	105	0	4
2017-12-20	1	75	88	89	4
2017-12-21	1	26	26	5	0
2017-12-22	2	92	96	0	6
2017-12-23	0	0	0	0	0
2017-12-24	0	0	0	0	0
2017-12-25	0	0	0	0	0
2017-12-26	0	0	0	0	0
2017-12-27	0	0	0	0	0
2017-12-28	0	0	0	0	0
2017-12-29	0	0	0	0	0
2017-12-30	0	0	0	0	0
2017-12-31	0	0	0	0	0
2018-01-01	1	282	309	8	3
2018-01-02	1	12	12	2	0
2018-01-03	1	15	15	10	2
2018-01-04	1	86	88	10	11
2018-01-05	0	0	0	0	0
2018-01-06	0	0	0	0	0
2018-01-07	0	0	0	0	0
2018-01-08	1	142	148	0	4
2018-01-09	1	39	41	20	5
2018-01-10	1	17	18	2	1
2018-01-11	1	4	4	7	0
2018-01-12	1	67	73	17	4
2018-01-13	0	0	0	0	0
